model,wavelength_region,rows,mean_absolute_error,median_absolute_error,rmse,mean_residual
rf,UV,751,33.728826135369246,20.834174603174517,50.37813587553209,-32.09158441657305
rf,blue,2854,21.374283251165267,12.799844976135148,32.716744410730016,-12.14242667114641
rf,green,1745,17.24015680172251,9.886098543424168,25.813498097433474,1.5367638735927016
rf,yellow/orange,1336,20.41434525029994,10.258807460317428,31.873696860745525,10.590401667902402
rf,red/NIR,1480,34.501945086108265,18.775043124493436,53.53734305978059,28.842380758139157
extratrees,UV,751,37.58064124369705,17.91506666666635,62.47296575100865,-32.09728454132422
extratrees,blue,2854,26.91198714647215,13.16004901960767,46.60786835871561,-13.653669813709321
extratrees,green,1745,23.28694696477406,10.944000000000017,38.34747841262837,-1.263887648578405
extratrees,yellow/orange,1336,23.753793616411947,12.372716666666804,38.45221056043123,9.733620085404265
extratrees,red/NIR,1480,35.730906542273104,17.458404761904717,59.90476163962788,25.05118750402969
histgb,UV,751,42.01776604440922,34.11167965081705,53.15610816709593,-41.02100180524126
histgb,blue,2854,26.164381773503802,20.16854626621867,35.08500969819304,-15.854176389676596
histgb,green,1745,22.61790730435138,16.618230309117223,30.884673208016633,0.5751852919072318
histgb,yellow/orange,1336,25.239659525881763,18.23399690229303,34.77021752916989,9.480738013932674
histgb,red/NIR,1480,40.50232453535493,30.328802130559097,54.94818302078991,31.92565615484297
gbdt,UV,751,67.49201422885298,63.952726444830375,73.5826451793802,-67.49201422885298
gbdt,blue,2854,34.02850841388687,29.775537380196397,42.325739346354894,-26.842709406611498
gbdt,green,1745,26.471800888771032,21.99374887225224,33.512995334220214,2.2477246537336555
gbdt,yellow/orange,1336,33.86356076044965,26.33763860881095,43.65415764262063,18.01674134505377
gbdt,red/NIR,1480,59.62759833954102,51.141184172227554,74.78038155111588,55.58855838968722
